,$s_G$,$δ_G$,$φ_G$,$s_M$,$δ_M$,$φ_M$
DGY1886_1,0.02963118822897057,0.00033760047091542636,0.0007067073168582355,,,
DGY1886_2,0.01747531786830157,0.0005885634273130628,0.00046761635088400026,,,
DGY1886_3,0.026611666607180326,0.00014335240125188121,0.0004935948055663727,,,
DGY1886_4,0.023708159351756613,0.0005324481855157705,0.0007176763905292951,,,
DGY2748_1,0.0022091692163726077,4.967173099917562e-05,0.042731935429403727,0.07867192613919746,0.0057983760699306,0.12089734759516374
DGY2748_2,0.0015153498318604128,0.0037174102971307735,0.000680192106908897,0.0718184422485036,0.0021065310612702055,0.06136150983013235
DGY2748_3,0.0014927912167602266,0.001606178682508054,0.07602777244795264,0.05762036562758802,0.004238370659830731,0.06772422253501041
DGY2748_4,0.001479155744739567,0.0027806855391802675,0.05878699595902434,0.05890738376146938,0.009852181846040009,0.017024344512371548
DGY2750_1,0.002560413892393162,0.007021201979479505,0.00012312117358183672,0.054788997814951765,0.007280051584767274,0.0007665337115437461
DGY2750_3,0.0013599031100491675,0.0093413907520962,0.00011863342462604448,0.06058087193328506,0.005405074393412754,0.026248325069196315
DGY2751_1,0.060317761829212134,0.00027286339127468456,0.0005147086198024402,0.08401209171784967,1.06244775422695e-05,0.004471996856905248
DGY2751_2,0.011476487011235879,0.001336108897245193,0.0004400886255036915,0.07116726224340766,5.609513648561333e-05,0.005828954532663649
DGY2751_3,0.02534363549146164,0.0019733415268806016,0.00011496968806634098,0.07606110727167349,5.198807765831257e-05,0.006021888419788318
DGY2751_4,0.006075736069928608,0.0008858769264491246,0.0009025817252474792,0.07480209560806124,9.548584240277202e-05,0.0034105226649186462
DGY2755_1,0.01593013610002321,1.039078341592546e-05,0.1362181833387443,0.05937539868425881,0.00677042230895036,0.02379477772480983
DGY2755_2,0.003059460266546049,0.0005783824911503342,0.056625579187019597,0.057841202125298516,0.008311408630596687,0.0011608623128022723
DGY2755_3,0.009016991787287418,0.00026569180342610616,0.05349522220037296,0.05434409537476399,0.009564764177442779,0.0008818563649502396
DGY2755_4,0.019455668970413363,7.852528434294201e-05,0.03415544136835613,0.05845950324563941,0.007812981248730049,0.0008599449560926414
